cluster_id,split,court_group,has_positive,n_final_pairs,n_positive_pairs
110435,test,SCOTUS,0,44,0
110461,test,SCOTUS,1,38,1
110468,test,SCOTUS,0,60,0
110478,test,SCOTUS,1,69,1
110518,test,SCOTUS,0,56,0
111094,test,SCOTUS,1,145,12
111104,test,SCOTUS,1,92,3
111215,test,SCOTUS,1,37,2
111252,test,SCOTUS,1,100,1
111254,test,SCOTUS,1,43,2
111308,test,SCOTUS,1,63,1
111517,test,SCOTUS,1,46,1
112076,test,SCOTUS,1,20,1
112121,test,SCOTUS,1,44,2
112391,test,SCOTUS,0,14,0
112589,test,SCOTUS,1,4,4
112786,test,SCOTUS,1,96,1
117905,test,SCOTUS,1,49,3
117927,test,SCOTUS,1,104,5
117935,test,SCOTUS,1,76,2
117956,test,SCOTUS,1,28,3
118076,test,SCOTUS,1,33,1
118111,test,SCOTUS,1,131,7
118317,test,SCOTUS,1,47,4
118392,test,SCOTUS,1,11,2
118420,test,SCOTUS,1,18,1
121162,test,SCOTUS,1,28,4
127912,test,SCOTUS,1,19,3
145660,test,SCOTUS,1,33,2
1087607,test,SCOTUS,1,107,1
2518018,test,SCOTUS,0,0,0
2528498,test,SCOTUS,1,64,3
2540705,test,SCOTUS,1,43,7
2620779,test,SCOTUS,0,1,0
2621048,test,SCOTUS,1,36,4
2764185,test,SCOTUS,1,38,1
4591917,test,SCOTUS,0,8,0
4729777,test,SCOTUS,1,49,6
4879558,test,SCOTUS,1,17,1
1099179,test,STATE,0,10,0
1136388,test,STATE,0,5,0
1212124,test,STATE,0,0,0
1368933,test,STATE,0,18,0
1477224,test,STATE,0,0,0
1540666,test,STATE,0,0,0
1556061,test,STATE,0,17,0
1567734,test,STATE,0,15,0
1582039,test,STATE,0,25,0
1690078,test,STATE,1,11,2
1727607,test,STATE,1,5,1
1741128,test,STATE,0,16,0
1748756,test,STATE,0,5,0
1841205,test,STATE,1,15,2
1894469,test,STATE,0,8,0
1944844,test,STATE,0,11,0
2055749,test,STATE,0,14,0
2221238,test,STATE,0,26,0
2308579,test,STATE,1,9,1
4237672,test,STATE,0,16,0
4993281,test,STATE,0,28,0
4995263,test,STATE,1,16,1
5008354,test,STATE,0,18,0
5012529,test,STATE,0,16,0
5015202,test,STATE,0,23,0
5016737,test,STATE,0,18,0
5024239,test,STATE,0,7,0
5039082,test,STATE,0,22,0
5059841,test,STATE,0,6,0
5337528,test,STATE,0,8,0
5338832,test,STATE,0,8,0
5529298,test,STATE,0,8,0
6095178,test,STATE,0,9,0
6119149,test,STATE,0,15,0
6290120,test,STATE,0,0,0
6290420,test,STATE,1,3,1
6290488,test,STATE,0,15,0
6290557,test,STATE,0,8,0
6290654,test,STATE,0,11,0
6292777,test,STATE,0,0,0
6293032,test,STATE,0,9,0
6300174,test,STATE,0,6,0
6306430,test,STATE,1,25,2
6315996,test,STATE,0,13,0
6322035,test,STATE,0,5,0
6322569,test,STATE,0,10,0
7629488,test,STATE,0,4,0
7649806,test,STATE,0,5,0
7654902,test,STATE,0,9,0
7656436,test,STATE,1,4,1
7674868,test,STATE,0,14,0
7699758,test,STATE,0,0,0
7699759,test,STATE,1,8,1
7701301,test,STATE,0,0,0
7713030,test,STATE,0,12,0
7713031,test,STATE,0,19,0
7779498,test,STATE,1,25,1
7820992,test,STATE,0,9,0
7844916,test,STATE,0,11,0
7955151,test,STATE,0,6,0
8035242,test,STATE,0,8,0
8665422,test,STATE,0,17,0
8666174,test,STATE,1,3,1
8666932,test,STATE,0,4,0
9382158,test,STATE,0,11,0
10146137,test,STATE,0,7,0
10146738,test,STATE,0,14,0
10340252,test,STATE,0,11,0
10610182,test,STATE,0,20,0
10610427,test,STATE,0,13,0
10610761,test,STATE,0,19,0
