citing_opinion_id,court,docket_id,cluster_id,opinion_types,opinion_sources,word_counts,combined_word_counts
108990,scotus,1139669,108990,"['040dissent', '040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2766', '2766', '2766', '8881', '14664']",14664.0
109252,scotus,2508658,109252,['010combined'],['html_with_citations'],['4891'],4891.0
109514,scotus,183816,109514,['010combined'],['html_with_citations'],['2714'],2714.0
109570,scotus,696040,109570,"['040dissent', '040dissent', '030concurrence', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['590', '590', '530', '530', '530', '530', '6495', '12567']",12567.0
109346,scotus,126256,109346,['010combined'],['html_with_citations'],['91'],91.0
109532,scotus,669681,109532,"['040dissent', '040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1231', '1231', '6404', '6404', '15573', '26565']",26565.0
109390,scotus,443526,109390,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5380', '348', '348', '4587', '10947']",10947.0
109508,scotus,13073,109508,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1111', '269', '7306', '8882']",8882.0
109344,scotus,421802,109344,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['89', '7889', '8269']",8269.0
109499,scotus,397308,109499,"['040dissent', '040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['7939', '7939', '147', '6349', '15462']",15462.0
109450,scotus,463564,109450,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2832', '550', '550', '7878', '13275']",13275.0
109615,scotus,240116,109615,['010combined'],['html_with_citations'],['5248'],5248.0
109716,scotus,401653,109716,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['47', '4072', '7724', '12022']",12022.0
109580,scotus,697831,109580,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['29', '29', '6038', '10893']",10893.0
109835,scotus,271970,109835,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['928', '8784', '9822']",9822.0
109881,scotus,266243,109881,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3632', '3409', '3409', '16140', '23311']",23311.0
109895,scotus,86099,109895,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4878', '6322', '11240']",11240.0
110063,scotus,157215,110063,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['2564', '5447', '8099']",8099.0
110212,scotus,240272,110212,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['430', '4127', '4697']",4697.0
110325,scotus,828162,110325,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['774', '3623', '4506']",4506.0
110563,scotus,1550125,110563,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5785', '390', '8637', '15336']",15336.0
110799,scotus,1858114,110799,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['1786', '6189', '8300']",8300.0
110719,scotus,432628,110719,"['040dissent', '040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['48', '48', '136', '136', '9325', '15541']",15541.0
111218,scotus,162324,111218,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['6872', '7905', '15497']",15497.0
111103,scotus,1000145,111103,['010combined'],['html_with_citations'],['3955'],3955.0
111308,scotus,155595,111308,"['040dissent', '040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['7861', '7861', '7861', '9293', '20870']",20870.0
111404,scotus,2517240,111404,['010combined'],['html_with_citations'],['5474'],5474.0
111555,scotus,27760,111555,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['2606', '2761', '5503']",5503.0
111940,scotus,240876,111940,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['115', '115', '3394', '3702']",3702.0
111948,scotus,160062,111948,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5700', '232', '5424', '11647']",11647.0
112040,scotus,10598,112040,"['040dissent', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1300', '97', '97', '97', '7058', '9384']",9384.0
112276,scotus,144896,112276,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['131', '2828', '3082']",3082.0
112301,scotus,160121,112301,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1445', '637', '6096', '8423']",8423.0
112258,scotus,1242860,112258,"['035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4932', '5883', '11078']",11078.0
112471,scotus,1611214,112471,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['3118', '4555', '7805']",7805.0
112608,scotus,326716,112608,"['040dissent', '040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['27', '27', '1369', '4783', '12071']",12071.0
112640,scotus,10689,112640,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5312', '414', '10205', '16255']",16255.0
112609,scotus,1507401,112609,['010combined'],['html_with_citations'],['3244'],3244.0
112728,scotus,1334648,112728,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3880', '3880', '3391', '7825']",7825.0
112739,scotus,241177,112739,"['035concurrenceinpart', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3869', '905', '6099', '11606']",11606.0
112906,scotus,314325,112906,['010combined'],['html_with_citations'],['25970'],25970.0
117947,scotus,1984545,117947,"['040dissent', '040dissent', '040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['7858', '7858', '7858', '284', '284', '10948', '24663']",24663.0
117931,scotus,117185,117931,"['040dissent', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2237', '653', '6345', '9474']",9474.0
117958,scotus,26862,117958,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['1556', '5448', '7249']",7249.0
118023,scotus,79452,118023,"['030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['485', '485', '485', '9359', '15678']",15678.0
118011,scotus,1113943,118011,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['8025', '8025', '10363', '50275']",50275.0
118133,scotus,1630588,118133,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['4818', '4818', '10384', '17609']",17609.0
118155,scotus,5522,118155,"['030concurrence', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['197', '197', '197', '197', '3482', '7787']",7787.0
118149,scotus,321056,118149,['010combined'],['html_with_citations'],['5717'],5717.0
118230,scotus,223158,118230,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['4018', '167', '5014', '9654']",9654.0
118317,scotus,222271,118317,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['670', '670', '7739', '12640']",12640.0
118386,scotus,1507199,118386,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['15888', '10006', '12238', '39064']",39064.0
118428,scotus,52338,118428,"['035concurrenceinpart', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1701', '1701', '6577', '8631']",8631.0
118273,scotus,410914,118273,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['4148', '4148', '10764', '17508']",17508.0
